id,title,doi,pm_id,journal
019c1a2b-a36f-74f4-be79-b117ebf754b0,Association between testosterone and cognitive performance in postmenopausal women: a systematic review of observational studies,,36366914,Climacteric
019c1a2b-a36f-7d92-9490-f65d4f2417f7,Association of age and insulin resistance with sex hormone-binding globulin levels in healthy men,,40857627,Archives of Endocrinology and Metabolism
019c07c3-5cea-790f-a550-e4d801582392,Automated urine sediment analyzers underestimate the severity of hematuria in glomerular diseases,10.1038/s41598-021-00457-6,,Scientific Reports
019c1a2b-a36f-7d60-b4e6-87495bf30395,Balanitis,10.StatPearls.30725828,30725828,StatPearls Publishing
019c1a2b-a36f-7877-ae45-0c2b00e848db,Bilirubinuria,,,StatPearls [Internet]
019c1a2b-a36f-78aa-9d52-1466fe5e72a0,BilR is a gut microbial enzyme that reduces bilirubin to urobilinogen,,38172624,Nature Microbiology
019c05c3-7e4e-758d-bd4f-2a0586633a4e,CD4 Cell Count and HIV,,30570960,StatPearls
019c09ce-78ed-7bc4-9290-12581880def1,"Classical congenital adrenal hyperplasia due to 21-hydroxylase deficiency (21-OHD) in adult males: Clinical presentation, hormone function and the detection of adrenal and testicular adrenal rest tumors (TARTs)",10.1016/j.endien.2020.07.003,34266634,Endocrinol Diabetes Nutr (Engl Ed)
019c0503-a737-70b6-85e2-c518a997f7ac,"Classification of diabetic retinopathy: Past, present and future",10.1038/s41433-022-02387-7,36609536,Eye
019c07c3-5cea-7828-a169-d54212654086,Comparison of Urinary Red Blood Cell Distribution (URD) and Dysmorphic Red Blood Cells for Detecting Glomerular Hematuria: A Multicenter Study,10.1002/jcla.25159,,Journal of Clinical Laboratory Analysis
019c1a2b-a36f-7f5f-9160-29006c320c78,Correction Rates and Clinical Outcomes in Hospitalized Adults With Severe Hyponatremia: A Systematic Review and Meta-Analysis,10.1001/jamainternmed.2024.5981,39556338,JAMA Internal Medicine
019c07b3-4719-7b1c-8f6d-4a1b2c5e6f7a,Dehydroepiandrosterone Combined with Exercise Improves Muscle Strength and Physical Function in Frail Older Women,10.1111/j.1532-5415.2010.03019.x,,Journal of the American Geriatrics Society
019c09a2-83c0-7313-9b5a-4eb3cf9905ab,EASL-EASD-EASO Clinical Practice Guidelines on the management of metabolic dysfunction-associated steatotic liver disease (MASLD),10.1016/j.jhep.2024.04.031,38851997,J Hepatol
019c07b3-ea7d-7769-a7e0-d58cdbcffe99,Effects of dehydroepiandrosterone (DHEA) on cardiovascular risk factors in older women with frailty characteristics,10.1093/ageing/afq043,,Age and Ageing
019c0999-cc82-7991-9e3b-11099302a43f,Effects of micronized progesterone added to non-oral estradiol on lipids and cardiovascular risk factors in early postmenopause,10.1080/13697137.2022.2085226,PMC3508911,Climacteric
019c09a2-83c0-7f3e-a167-43a14b4ecd4b,Elevated ALT/AST ratio as a marker for NAFLD risk and severity: insights from a cross-sectional analysis in the United States,10.3389/fendo.2024.1457598,39253584,Front Endocrinol (Lausanne)
019c1a2b-a36f-75f5-aef6-824eab51562f,Evaluation of the diagnostic performance of thyroid-stimulating immunoglobulin and thyrotropin receptor antibodies for Graves' disease,10.1002/jcla.24890,37161617,J Clin Lab Anal
019c09cf-5a0a-7c88-883a-e1793e0c4f23,"Evaluation of the Vitek® Reveal™ system for rapid antimicrobial susceptibility testing of Gram-negative pathogens, including ESBL, CRE and CRAB, from positive blood cultures",,39197326,Diagnostic Microbiology and Infectious Disease
019c1a2b-a36f-72f9-a2b4-5bd4b259560a,Feasibility of serial measurement of nitrite for pharmacodynamic monitoring and precision prescribing in urinary tract infections,,40596670,Communications Medicine
019c1a2b-a36f-7091-a2a3-dd420cdda41d,Follicle Stimulating Hormone (LH:FSH) Ratio in Polycystic Ovary Syndrome (PCOS) - Obese vs. Non-Obese Women,,33041447,Med Arch
019c1a2b-a36f-7669-8cb9-8b7d0b9fc891,Global Consensus Position Statement on the Use of Testosterone Therapy for Women,,31488288,Journal of Sexual Medicine
019c07c3-5cea-7323-954d-b895b75b1aea,Glomerular Hematuria and the Utility of Urine Microscopy: A Review,10.1053/j.ajkd.2022.02.022,,American Journal of Kidney Diseases
019c0819-f910-7ae6-a510-8590a5db03ec,Guideline on haemoglobin cutoffs to define anaemia in individuals and populations,9789240088542,,WHO Guidelines
019c1a2b-a36f-73b2-a3b4-e8bcf33b679b,Hyperandrogenism and Metabolic Syndrome Are Associated With Changes in Serum-Derived microRNAs in Women With Polycystic Ovary Syndrome,10.1038/s41598-019-53848-3,31737638,Scientific Reports
019c1a2b-a36f-78b1-8da0-fde08e298c46,Hyponatraemia-treatment standard 2024,10.1093/ndt/gfae162,39009016,Nephrology Dialysis Transplantation
019c1a2b-a36f-7933-a434-62d953e48ff4,Identification of the LH surge by measuring intact and total immunoreactivity in urine for prediction of ovulation time,,35614178,Hormones (Athens)
019c0938-614e-753d-a847-9cbe11f25b6c,IGF1 for the diagnosis of growth hormone deficiency in children and adolescents: a reappraisal,10.1530/EC-20-0347,,Endocr Connect
019c04c1-bb6d-7926-bd80-71c80b93bee1,Impact of Age and Sex on QT Prolongation in Patients Receiving Psychotropics,10.1177/070674371506000502,,Canadian Journal of Psychiatry
019c07b3-4719-7e8f-9c3a-1f8d9e2a3b4c,Impact of DHEA supplementation on testosterone and estradiol levels in postmenopausal women: a meta-analysis of randomized controlled trials assessing dose and duration effects,10.1186/s13098-025-01770-0,,Diabetology & Metabolic Syndrome
019c1a2b-a36f-7694-bd21-25436f1cfebc,Impact of High-Sensitivity Troponin I Testing with Sex-Specific Cutoffs on the Diagnosis of Acute Myocardial Infarction,10.1373/clinchem.2015.252569,27117468,Clinical Chemistry
019c09cf-5a0a-7a17-8ad7-a9cfeaa155ec,"Infectious Diseases Society of America 2022 Guidance on the Treatment of Extended-Spectrum β-lactamase Producing Enterobacterales (ESBL-E), Carbapenem-Resistant Enterobacterales (CRE), and Pseudomonas aeruginosa with Difficult-to-Treat Resistance (DTR-P. aeruginosa)",,35439291,Clinical Infectious Diseases
019c1a2b-a36f-74d5-a87f-796c5c4d7e2f,KDIGO 2024 Clinical Practice Guideline for the Evaluation and Management of Chronic Kidney Disease,,38490803,Kidney International
019c05c3-7e4c-7f49-8fe7-87e19284f28a,Lymphocytopenia,,,Merck Manual
019c05c3-7e43-7dfd-ac77-821851ecf493,Lymphocytosis,,31869179,StatPearls
019c1a2b-a36f-7288-94a3-1de29b3ba1f9,Measurement and clinical usefulness of bilirubin in liver disease,,37362415,Advances in Laboratory Medicine
019c1a2b-a36f-7735-8af8-681fb68a00b7,Mechanisms for pelvic floor muscle training: Morphological changes and associations between changes in pelvic floor muscle variables and symptoms of female stress urinary incontinence and pelvic organ prolapse-A narrative review,10.1002/nau.25551,38979823,Neurourology and Urodynamics
019c098b-67a9-7ff0-9bcd-e3e2115ceba1,Mechanisms of Oxidized LDL-Mediated Endothelial Dysfunction and Its Consequences for the Development of Atherosclerosis,10.3389/fcvm.2022.925923,,Frontiers in Cardiovascular Medicine
019c0999-c8ed-76e1-b937-14fa75d8fad4,Menopausal Hormone Therapy Formulation and Breast Cancer Risk,10.1371/journal.pmed.1004033,35675607,PLoS Med
019c09a8-87fe-7802-83e9-d50dc24a95ee,Multiparametric ultrasound for the assessment of testicular lesions with negative tumoral markers,10.4103/aja202235,35708357,Asian Journal of Andrology
019c1a2b-a36f-7087-9728-e830bea0031b,New Insights in the Diagnostic Potential of Sex Hormone-Binding Globulin (SHBG)—Clinical Approach,,40427034,Biomedicines
019c1a2b-a36f-70e9-b7bc-2c069ff603b1,Nitrite-negative results in urinary tract infection by Enterobacterales: does the nitrite dipstick test have low sensitivity?,,36762527,Journal of Medical Microbiology
019c0819-f910-7c9b-b23e-45edb8e8974a,Normal and Abnormal Complete Blood Count With Differential,,,StatPearls Publishing
019c092e-d3d7-77f1-93cd-46a3a74c4ce1,Normal and Abnormal Complete Blood Count With Differential,,,StatPearls Publishing
019c09af-e361-7e78-bcb0-130a1928a6d7,NT-proBNP cut-off value for ruling out heart failure in atrial fibrillation patients - A prospective clinical study,10.1016/j.ajem.2023.05.041,37320999,American Journal of Emergency Medicine
019c098b-67a9-7731-bc17-46153299e89c,Oxidized low-density lipoprotein associates with cardiovascular disease by a vicious cycle of atherosclerosis and inflammation: A systematic review and meta-analysis,10.3389/fcvm.2023.1098185,,Frontiers in Cardiovascular Medicine
019c098b-67a9-79a1-b8e0-68c2c5e04053,Oxidized low-density lipoproteins and their contribution to atherosclerosis,10.37349/ec.2025.101246,,Exploration of Cardiology
019c1a2b-a36f-7d84-8f82-623d29d42798,Pelvic Floor Muscle Training Interventions in Female Athletes: A Systematic Review and Meta-analysis,10.1177/19417381231195305,37688407,Sports Health
019c1a2b-a36f-7324-b3dd-68c54dfa377a,"Penile lichen sclerosus, circumcision and sequelae, what are the questions?",10.21037/tau-22-343,35958904,Translational Andrology and Urology
019c07a8-0225-7a41-ab96-5db11b5d112f,Performance of Dehydroepiandrosterone Sulfate and Baseline Cortisol in Assessing Adrenal Insufficiency,10.1210/clinem/dgae855,39657727,Journal of Clinical Endocrinology & Metabolism
019c1a2b-a36f-7aff-abb2-c2e595c8d469,"Performance of Gram Stain, Leukocyte Esterase, and Nitrite in Predicting the Presence of Urinary Tract Infections: A Diagnostic Accuracy Study",,40487910,Archives of Academic Emergency Medicine
019c09c8-2223-7fda-bb2a-1a3855217100,Persistently high serum aspartate aminotransferase level in an asymptomatic young patient,10.1002/ccr3.7912,37700775,Clinical Case Reports
019c092e-d3d7-7ff0-92fc-b31ba82d65af,Polycythemia: Diagnosis and Clinical Management,,,StatPearls Publishing
019c0819-f910-7879-8062-eeae8ee446ec,Polycythemia: Diagnosis and Clinical Management,,,StatPearls Publishing
019c09af-e361-74b5-ac25-492b101781f4,Practical algorithms for early diagnosis of heart failure and heart stress using NT-proBNP: A clinical consensus statement from the Heart Failure Association of the ESC,10.1002/ejhf.3036,37712339,European Journal of Heart Failure
019c1a2b-a36f-7227-ae59-0e5001deba72,Pretreatment with oral contraceptive pills in women with PCOS scheduled for IVF: a randomized clinical trial,,39697220,Hum Reprod Open
019c09ce-78ed-72bb-9dc2-1033fe132e5a,Progesterone: the forgotten hormone in men?,10.1080/13685530400004199,15669543,Aging Male
019c099c-7a13-7caa-9a8e-f33d473d76d7,Progesterone vs. synthetic progestins and the risk of breast cancer: a systematic review and meta-analysis,10.1186/s13643-016-0294-5,27439390,Systematic Reviews
019c1a2b-a36f-7815-96eb-587e17a3ff42,Prognostic significance of thyroid-stimulating hormone receptor antibodies in moderate-to-severe Graves' orbitopathy,10.3389/fendo.2023.1153312,37223049,Front Endocrinol (Lausanne)
019c09cf-5a0a-7a50-90b0-1042cb2cd692,Proposing the Continuum of UTI for a Nuanced Approach to Diagnosis and Management of Urinary Tract Infections,,38330392,The Journal of Urology
019c06f0-b711-7cd0-9fc2-a740fd5554b0,Prostate-Specific Antigen (PSA) - Clinical Interpretation and Use,,,NCI Fact Sheet
019c06f0-b711-727d-8b1f-d4005d822233,Prostate-Specific Antigen: StatPearls Review,,32491364,StatPearls Publishing
019c09c8-5a00-7fc9-ab98-0e1f3be60732,Reevaluating our understanding of lactulose breath tests by incorporating hydrogen sulfide measurements,10.1002/jgh3.12145,31276041,JGH Open: An Open Access Journal of Gastroenterology and Hepatology
019c0938-614e-7d64-bec0-89f10c4be840,Reference Intervals for Insulin-like Growth Factor-1 (IGF-I) From Birth to Senescence: Results From a Multicenter Study Using a New Automated Chemiluminescence IGF-I Immunoassay Conforming to Recent International Recommendations,10.1210/jc.2013-3059,,J Clin Endocrinol Metab
019c07a8-0225-7ba2-995b-7b62710a8fed,Reference Ranges for Serum Dehydroepiandrosterone Sulfate and Testosterone in Adult Men,10.2164/jandrol.108.005561,18599883,Journal of Andrology
019c1a2b-a36f-7140-8b33-489ba6dea375,Remnant cholesterol can identify individuals at higher risk of metabolic syndrome in the general population,,37045908,Scientific Reports
019c0503-a737-72aa-a663-f2cfd64976b7,"Retinopathy, Neuropathy, and Foot Care: Standards of Care in Diabetes—2026",10.2337/dc26-S012,39651974,Diabetes Care
019c06f0-b711-7d10-9a39-d735b30da88d,Screening for Prostate Cancer: US Preventive Services Task Force Recommendation Statement,10.1001/jama.2018.3710,29801017,JAMA
019c1a2b-a36f-7859-903a-d19b65797a29,Serum Cholesterol Levels and Risk of Cardiovascular Death: A Systematic Review and a Dose-Response Meta-Analysis of Prospective Cohort Studies,,35886124,International Journal of Environmental Research and Public Health
019c07b3-ea7d-7206-9a8f-be0b54f8ace2,"Serum concentrations of oxytocin, DHEA and follistatin are associated with osteoporosis or sarcopenia in community-dwelling postmenopausal women",10.1186/s12877-021-02481-7,,BMC Geriatrics
019c098b-67a9-7426-979d-23c15888b874,Serum OxLDL Levels Are Positively Associated with the Number of Ischemic Events and Damaged Blood Vessels in Patients with Coronary Artery Disease,10.3390/ijms252313292,,International Journal of Molecular Sciences
019c09af-e361-79e9-be62-f69369415960,Setting the optimal threshold of NT-proBNP and BNP for the diagnosis of heart failure in patients over 75 years,10.1002/ehf2.14894,38923835,ESC Heart Failure
019c04c1-bb6d-7d5c-a6d5-a6500c0fa385,Sex differences in the mechanisms underlying long QT syndrome,10.1152/ajpheart.00864.2013,,American Journal of Physiology - Heart and Circulatory Physiology
019c1a2b-a36f-7bf6-be20-98848cff78a5,Sex hormone binding globulin as a potential drug candidate for liver-related metabolic disorders treatment,10.1016/j.biopha.2022.113261,35738176,Biomedicine & Pharmacotherapy
019c1a2b-a36f-739b-a331-b65e8b1312fb,Sex Hormone Binding Globulin is an Independent Predictor for Insulin Resistance in Male Patients with Newly Diagnosed Type 2 Diabetes Mellitus,,37462840,Diabetes Therapy
019c1a2b-a36f-7433-bfa0-619cd6c5c4ff,Sex-Specific Thresholds of High-Sensitivity Troponin in Patients With Suspected Acute Coronary Syndrome,10.1016/j.jacc.2019.07.082,31623760,Journal of the American College of Cardiology
019c1a2b-a36f-7dd5-8d96-88d01e70dfda,Syndrome of Inappropriate Antidiuretic Hormone Secretion,,29939554,StatPearls
019c1a2b-a36f-7cc3-8c1e-994054eb05e1,Systematic review with meta-analysis: The effect of vitamin E supplementation in adult patients with non-alcoholic fatty liver disease,10.1111/jgh.15216,32810309,Journal of Gastroenterology and Hepatology
019c09ce-78ed-75c7-bf45-5e9b543cb44a,Testosterone to Estradiol Ratios in Fertile and Subfertile Men: A Large Cohort Analysis,10.1016/j.urology.2024.11.004,39542362,Urology
019c07a8-7fb2-7ed8-aba6-6b9f26f004ae,The association between dehydroepiandosterone and frailty in older men and women,10.1093/ageing/afp015,,Age and Ageing
019c1a2b-a36f-7845-b88a-f75f12369039,The clinical management of testosterone replacement therapy in postmenopausal women with hypoactive sexual desire disorder: a review,,36198811,International Journal of Impotence Research
019c09c8-2223-7961-8f89-5dd1b4453418,The De Ritis Ratio: The Test of Time,,24353357,Clinical Biochemist Reviews
019c09c8-5a00-75ca-b20e-8a23f5108d9b,The diagnostic value of hydrogen sulfide breath test for small intestinal bacterial overgrowth,10.3760/cma.j.cn112138-20200731-00725,33765706,Zhonghua Nei Ke Za Zhi (Chinese Journal of Internal Medicine)
019c1a2b-a36f-7557-b7f2-03075a9e0149,"The Effect of Spontaneous LH Surges on Pregnancy Outcomes in Patients Undergoing Letrozole-HMG IUI: A Retrospective Analysis of 6,285 Cycles",,35600574,Frontiers in Endocrinology
019c1a2b-a36f-7460-a8ca-03b69ef7678b,The effect of total cholesterol/high-density lipoprotein cholesterol ratio on mortality risk in the general population,,36589799,Frontiers in Endocrinology
019c1a2b-a36f-7de9-a852-fe871d5716c2,The effect of vitamin D on bone and osteoporosis,10.1016/j.beem.2011.05.002,,Best Practice & Research Clinical Endocrinology & Metabolism
019c1a2b-a36f-7591-b7d0-bc0d740ef04a,The Effects of Menstrual Cycle Phase on Exercise Performance in Eumenorrheic Women: A Systematic Review and Meta-Analysis,,32661839,Sports Med
019c0939-2aa9-7a8a-af45-7187962bf2b5,The GH/IGF-1 axis in ageing and longevity,10.1038/nrendo.2013.67,,Nature Reviews Endocrinology
019c0999-cb52-75e6-8509-58f50aacfe66,The impact of micronized progesterone on breast cancer risk: a systematic review,10.1080/13697137.2017.1421925,29384406,Climacteric
019c1a2b-a36f-7fd9-a5e5-9150cf79e27e,The LH:FSH Ratio in Functional Hypothalamic Amenorrhea: An Observational Study,,38592037,J Clin Med
019c1a2b-a36f-7ab6-9634-ad8d8105b1a9,The LH surge and ovulation re-visited: a systematic review and meta-analysis and implications for true natural cycle frozen thawed embryo transfer,,35258085,Human Reproduction Update
019c1a2b-a36f-77f7-b1a2-4776012aed71,The Multifaceted Role of Bilirubin in Liver Disease: A Literature Review,,39544246,Journal of Clinical and Translational Hepatology
019c1a2b-a36f-720e-a62b-64a7be988841,The relation between VLDL-cholesterol and risk of cardiovascular events in patients with manifest cardiovascular disease,,32810544,International Journal of Cardiology
019c1a2b-a36f-7a36-aa13-77d89625b87b,The Role of Urinary Nitrite in Predicting Bacterial Resistance in Urine Culture Analysis Among Patients With Uncomplicated Urinary Tract Infection,,35865430,Cureus
019c09c8-2223-7844-a54c-74c1911cbc83,The significance of transaminase ratio (AST/ALT) in acute myocardial infarction,10.5114/amsad.2020.103027,33644486,Archives of Medical Sciences. Atherosclerotic Diseases
019c1a2b-a36f-7367-b233-d405051debf7,The Triglyceride/High-Density Lipoprotein Cholesterol (TG/HDL-C) Ratio as a Risk Marker for Metabolic Syndrome and Cardiovascular Disease,,36900073,Diagnostics (Basel)
019c1a2b-a36f-729e-aae3-882fdf59f34b,Timed intercourse for couples trying to conceive,,37709293,Cochrane Database of Systematic Reviews
019c1a2b-a36f-7c16-bb93-1a7bd01ab7f2,Total cholesterol/HDL-cholesterol ratio discordance with LDL-cholesterol and non-HDL-cholesterol and incidence of atherosclerotic cardiovascular disease in primary prevention: The ARIC study,,31291776,European Journal of Preventive Cardiology
019c09a8-87fe-78e4-adf4-eefb0e55c86d,Ultrasound assessment of testicular volume - An interobserver variability study,10.1016/j.jmir.2023.09.001,37838500,Journal of Medical Imaging and Radiation Sciences
019c09a2-83c0-7f17-a98b-f5dba6be37d7,Updated Reference Intervals for Alanine Aminotransferase in a Metabolically and Histologically Normal Population,10.1016/j.cgh.2024.04.031,38750867,Clin Gastroenterol Hepatol
019c0503-a737-7d95-898d-8ddbae28cfcf,Update on the Management of Diabetic Retinopathy: Anti-VEGF Agents for the Prevention of Complications and Progression,10.3390/jcm12103370,37240555,Journal of Clinical Medicine
019c07c3-5cea-7458-8d92-293c429d8c49,Updates to Microhematuria: AUA/SUFU Guideline (2025),10.1097/JU.0000000000004490,,Journal of Urology
019c1a2b-a36f-78e2-890f-e55136a558f8,Urea levels and cardiovascular disease in patients with chronic kidney disease,,35544273,Nephrology Dialysis Transplantation
019c09cf-5a0a-7837-8694-cf9508ff63e5,Urinary Tract Infections: Core Curriculum 2024,,37906240,American Journal of Kidney Diseases
019c0999-ca1e-7184-a608-60e3db02d51f,"Use of menopausal hormone therapy beyond age 65 years and its effects on women's health outcomes by types, routes, and doses",10.1097/GME.0000000000002333,38595196,Menopause
019c1a2b-a36f-747e-8bb0-d60d3513cf72,Venous Oxygen Saturation,,33232065,StatPearls [Internet]
019c1a2b-a36f-7358-94ef-e0693a5e0171,Vitamin D for the Prevention of Disease: An Endocrine Society Clinical Practice Guideline,10.1210/clinem/dgae290,,Journal of Clinical Endocrinology & Metabolism
019c1a2b-a36f-7ac6-b917-ed455aeb937c,Vitamin D supplementation to prevent acute respiratory infections: systematic review and meta-analysis,10.1016/S2213-8587(24)00348-6,,The Lancet Diabetes & Endocrinology
019c05c3-7e50-7163-a809-8d06ad5ba945,When to Worry About Low Lymphocytes: Clinical Significance of Lymphocytopenia,,,Clinical Review
